individual,species,lab,sex,age,condition,round,range,urban_habitat,adult_sociality,caching,source,live_hunting,flock_size,touch,latency
AL173,'alalā,4,f,Adult,Novel_object,3,1,0,0,0,0,1,0,0,600
AL174,'alalā,4,f,Adult,Control,1,1,0,0,0,0,1,0,1,487
AL174,'alalā,4,f,Adult,Control,2,1,0,0,0,0,1,0,1,536
AL174,'alalā,4,f,Adult,Control,3,1,0,0,0,0,1,0,1,545
AL174,'alalā,4,f,Adult,Novel_object,1,1,0,0,0,0,1,0,0,600
AL174,'alalā,4,f,Adult,Novel_object,2,1,0,0,0,0,1,0,0,600
AL174,'alalā,4,f,Adult,Novel_object,3,1,0,0,0,0,1,0,0,600
AL175,'alalā,4,m,Adult,Control,1,1,0,0,0,0,1,0,1,90
AL175,'alalā,4,m,Adult,Control,2,1,0,0,0,0,1,0,1,43
AL175,'alalā,4,m,Adult,Control,3,1,0,0,0,0,1,0,1,12
AL175,'alalā,4,m,Adult,Novel_object,1,1,0,0,0,0,1,0,1,275
AL175,'alalā,4,m,Adult,Novel_object,2,1,0,0,0,0,1,0,1,148
AL175,'alalā,4,m,Adult,Novel_object,3,1,0,0,0,0,1,0,1,24
AL176,'alalā,4,f,Adult,Control,1,1,0,0,0,0,1,0,1,214
AL176,'alalā,4,f,Adult,Control,2,1,0,0,0,0,1,0,1,40
AL176,'alalā,4,f,Adult,Control,3,1,0,0,0,0,1,0,1,13
AL176,'alalā,4,f,Adult,Novel_object,1,1,0,0,0,0,1,0,0,600
AL176,'alalā,4,f,Adult,Novel_object,2,1,0,0,0,0,1,0,0,600
AL176,'alalā,4,f,Adult,Novel_object,3,1,0,0,0,0,1,0,0,600
AL177,'alalā,4,m,Adult,Control,1,1,0,0,0,0,1,0,1,22
AL177,'alalā,4,m,Adult,Control,2,1,0,0,0,0,1,0,1,27
AL177,'alalā,4,m,Adult,Control,3,1,0,0,0,0,1,0,1,31
AL177,'alalā,4,m,Adult,Novel_object,1,1,0,0,0,0,1,0,1,198
